# control seed=11 started 2026-02-25T19:27:41.063081
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 11 --epochs 500 --episodes 10 --protocol 0 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\control\seed_11

Epoch 128 | Survival: 0.10 | Target: 0.10 | Reward A: 79.942
Epoch 129 | Survival: 0.40 | Target: 0.40 | Reward A: 37.649
Epoch 130 | Survival: 0.60 | Target: 0.60 | Reward A: 33.293
Epoch 131 | Survival: 0.20 | Target: 0.20 | Reward A: 51.597
Epoch 132 | Survival: 1.00 | Target: 1.00 | Reward A: 35.018
Epoch 133 | Survival: 0.40 | Target: 0.40 | Reward A: 45.308
Epoch 134 | Survival: 0.10 | Target: 0.10 | Reward A: 56.394
Epoch 135 | Survival: 0.50 | Target: 0.50 | Reward A: 31.382
Epoch 136 | Survival: 0.20 | Target: 0.20 | Reward A: 49.913
Epoch 137 | Survival: 0.10 | Target: 0.10 | Reward A: 37.179
Epoch 138 | Survival: 0.00 | Target: 0.00 | Reward A: 49.804
Epoch 139 | Survival: 0.40 | Target: 0.40 | Reward A: 57.419
Epoch 140 | Survival: 0.30 | Target: 0.30 | Reward A: 50.984
Epoch 141 | Survival: 0.00 | Target: 0.00 | Reward A: 63.784
Epoch 142 | Survival: 0.30 | Target: 0.30 | Reward A: 54.651
Epoch 143 | Survival: 0.60 | Target: 0.60 | Reward A: 43.519
Epoch 144 | Survival: 0.00 | Target: 0.00 | Reward A: 41.563
Epoch 145 | Survival: 0.00 | Target: 0.00 | Reward A: 67.870
Epoch 146 | Survival: 0.50 | Target: 0.50 | Reward A: 63.167
Epoch 147 | Survival: 0.30 | Target: 0.30 | Reward A: 58.123
Epoch 148 | Survival: 0.00 | Target: 0.00 | Reward A: 73.319
Epoch 149 | Survival: 0.00 | Target: 0.00 | Reward A: 65.675
Epoch 150 | Survival: 0.40 | Target: 0.40 | Reward A: 48.223
Epoch 151 | Survival: 0.20 | Target: 0.20 | Reward A: 59.740
Epoch 152 | Survival: 0.00 | Target: 0.00 | Reward A: 50.761
Epoch 153 | Survival: 0.70 | Target: 0.70 | Reward A: 23.628
Epoch 154 | Survival: 0.60 | Target: 0.60 | Reward A: 25.467
Epoch 155 | Survival: 0.00 | Target: 0.00 | Reward A: 50.802
Epoch 156 | Survival: 0.50 | Target: 0.50 | Reward A: 27.720
